tf,n_target,n_overlap,enrich_p,enrich_FDR,rho,FDR,max_abs_rho,validated_in_bulk
JDP2,504,11,0.00515502296847356,0.0384613041788457,0.151215912672561,4.12030394013113e-08,0.319197365596801,FALSE
GRHL1,578,12,0.00524663366863858,0.0388413577794562,0.134689603894209,1.07804750583846e-06,0.224767387259856,FALSE
IRF6,509,11,0.00554010450766406,0.0403891946505234,0.109074225114209,9.0085609892365e-05,0.243492484596038,FALSE
GLYR1,438,10,0.0055402979049409,0.0403891946505234,0.17334454766221,2.85426829611165e-10,0.254852090284489,FALSE
CDC5L,1223,20,0.00567204433335084,0.0410363813511368,0.12829826045259,3.55104365788553e-06,0.190984088173208,FALSE
ZNF281,739,14,0.00589750657539327,0.0423467577406058,-0.153667839940762,2.48392652533942e-08,0.198729298496758,FALSE
HOXB13,42,3,0.00594963587586024,0.0424022556824368,0.12483814933719,6.6045051191114e-06,0.213599897696194,FALSE
EGR3,447,10,0.00636125293911899,0.0449999744952492,0.129960679857324,2.61644216853746e-06,0.191861770864118,FALSE
AHR,44,3,0.00677649000354371,0.0472375763020748,0.172513901792287,3.46545491030993e-10,0.284361047929342,FALSE
PBX2,44,3,0.00677649000354371,0.0472375763020748,0.0984242809418085,0.000440358206445593,0.186496776957418,FALSE
NFAT5,914,16,0.00700217583562362,0.0484570863986997,0.140582420537368,3.43041638875653e-07,0.225364898739988,FALSE
KLF16,755,14,0.00706585556334742,0.0485459860647251,0.147192930595865,9.67934072055355e-08,0.244468714682887,FALSE
