tf,rho,p,fdr
ZNF519,-0.0781900348402504,0.00275566549135537,0.00914954819444856
ZNF789,-0.0781796759252727,0.00275926060059856,0.00914954819444856
HOXC9,0.0781333716725155,0.00277538308785529,0.00917641113441173
ZNF235,-0.0776918676751911,0.00293348184878896,0.00967119087900452
ZNF77,-0.0775448910959393,0.00298790734616069,0.00982231610347078
DLX4,0.0772823359177353,0.00308742722318377,0.0101203918146769
HMX3,0.077192781071839,0.00312205699123001,0.0102019254072116
ETS1,0.0771720179068297,0.00313013620448537,0.0102019254072116
HEY2,0.0770721965415789,0.0031692444320422,0.0103000444041371
ZNF594,-0.076875223828304,0.00324772273942406,0.0105056938600367
ZNF101,-0.0768673711186703,0.003250887785361,0.0105056938600367
ZNF497,-0.0768439271215303,0.00326035363106831,0.0105066043773018
ZNF8,0.0767019630315344,0.00331821148344086,0.0106630166771246
FOXL1,0.0766147208928038,0.00335422911970809,0.010748566142706
ZNF569,-0.0764368182271623,0.0034287799587111,0.0109567717116355
BCL6,0.0763458749130426,0.00346746929614723,0.0110495400412046
FOXO6,0.0762063494590094,0.00352759862214035,0.0112099245103571
ZNF623,-0.0761455643499706,0.00355408947815903,0.0112381780426098
IRX3,0.076140883881795,0.00355613675823842,0.0112381780426098
ISL2,0.0759094148091134,0.00365873052770374,0.0115305446933694
CSRNP3,-0.0758404693599196,0.00368980469595416,0.0115965290444274
ZNF700,-0.0757274552076961,0.00374125974926279,0.0117260305565935
ZNF823,-0.0756350168323757,0.00378383017684457,0.0118270538860934
ZNF75D,-0.0754716696490041,0.00386013257698522,0.0120326748448804
HMX2,0.075421568301172,0.00388381410089627,0.012073596009308
ZNF491,-0.0753445854089097,0.00392045878481035,0.0121544846878673
ZHX1,0.0751786307510772,0.00400052417036417,0.0123691882456665
AEBP2,0.0750428319823942,0.00406714086551211,0.0125412645556492
NRL,-0.0747542590022224,0.00421205261677011,0.0129531940687769
ZNF14,-0.0746160736959999,0.00428308780264802,0.0131363336360036
ZNF460,0.0744715137115725,0.00435855982250624,0.0133320653394308
CREM,0.0743910055202224,0.00440111181319775,0.0134263251047953
CASZ1,0.0742725378138826,0.004464411196082,0.0135832085327601
ZNF232,-0.0742364472980703,0.00448385811384249,0.0136061901385565
POU3F4,-0.0742056334887249,0.00450052238782929,0.0136206286023193
JUNB,0.0741544284019787,0.00452833837863064,0.0136686519924893
ZNF814,-0.0741226666109898,0.00454567033299679,0.0136794625676409
L3MBTL1,-0.0741040902281502,0.0045558349984888,0.0136794625676409
FOXN4,-0.0739234539504163,0.00465575361342768,0.0139280947048088
ZNF580,-0.0739105088059889,0.00466298974820084,0.0139280947048088
ZNF280D,-0.0738779352576862,0.00468124287930979,0.0139462027446104
ZNF559,-0.0737138881855751,0.0047741553478436,0.014186061605021
ZBTB45,-0.0736251422443488,0.0048251109608386,0.0143003288580294
ZNF41,-0.0735784336684534,0.00485212680482027,0.0143432378933188
ZNF91,-0.0733821427435089,0.00496716052641349,0.014645442376848
FOXG1,0.0730017170524373,0.00519714328667968,0.0152841437531145
FOXF1,0.0726679444016665,0.00540679123679955,0.0158599209612787
ZNF883,-0.072547265757562,0.00548444920120898,0.0160465725989337
FOXE1,-0.0724904790410689,0.00552133885053522,0.0161132950127864
PITX3,-0.0723599519589303,0.00560698095453988,0.016321593414742
ZZZ3,0.0722107988755374,0.00570630839267643,0.0165685705614767
ZNF763,-0.0721245771528241,0.00576444758914459,0.0166950077012188
FOXK2,0.0720228433954705,0.00583373238692696,0.0168530046733445
SPIB,0.0719721104911933,0.00586856302202315,0.0168708126760072
ZNF516,0.0719709076153508,0.00586939112329622,0.0168708126760072
EN2,0.0719279667015915,0.00589902214259534,0.0169134870454363
ZSCAN1,-0.0718921170451231,0.00592386298467104,0.0169422481361592
ZNF485,-0.0716626982901499,0.00608507318759903,0.0173599095426765
ZNF182,-0.0715748488913744,0.0061478419554582,0.0174953512364283
ZFP42,-0.071229972587175,0.00639992763524612,0.0181675365129567
FOXJ1,0.0709407926677166,0.00661842243356602,0.0187412754059394
KLF10,0.0706364483422508,0.00685558991075245,0.0193649255750637
ZNF777,-0.0705269032454889,0.00694280486832093,0.0195629772644314
