tf,EC,FC,HomC,HTC,preHTC,ProC,RegC
NOTO,0.147743932185913,0.237758431132044,0.175837172151868,-0.047318220007477,0.0621492282062286,0.140440739443263,0.036334705490311
NPAS1,-0.0261862869341996,0.0286702673199709,-0.0936703809615522,-0.0539837757176351,0.231715966512744,0.100771246987912,0.119922137829896
NPAS2,0.0798497035600639,0.106284776707606,0.0803369122824125,0.199572277538694,0.245524901450621,0.21498380342448,0.114957876198171
NPAS3,0.174636752480338,-0.0217074881136922,0.0832288678462501,0.109524052023415,0.0995541362238004,0.146837696271895,-0.0167907205077543
NPAS4,0.167300554805275,-0.0829389876042015,0.0559554563356369,0.10868709426035,0.309499782130715,0.164046632156729,0.100285911499452
NR0B1,0.12529828992534,0.238884763062472,0.150652063264315,0.0840299572837496,0.279340432368799,0.198079498499936,0.176351481197724
NR1D1,0.0550386333448744,0.0768977527046362,0.118523870977632,0.1796418444758,0.231126432901391,0.101008556999347,0.141106900727893
NR1D2,0.0364929211806562,0.031639687863825,0.13638348911877,0.158874453649842,0.040090236055387,0.0871218146058646,0.0320412900250354
NR1H2,0.0266870109115914,-0.170895271989398,0.0972913005311506,0.116821842015024,-0.0571496515997788,0.0472022519592306,0.155066091374759
NR1H3,0.0166817967286907,0.151030872489132,0.184094780807289,0.0918696623737458,-0.00613524557323245,0.0156951678823513,-0.0720069503912533
