donor,predicted_state,gene,mean_log_expression,z
116,FC,RNASE6,0.000727295173939882,-0.190600931163615
116,FC,SPI1,0.00432869996951468,-0.252906002312885
116,FC,CLDN10,0.00207660994096727,4.17052672135248
116,FC,LY6D,0.011011484914732,0.411880545579939
116,FC,TNFAIP6,0.684751917172989,1.22947285696593
116,FC,FAM159B,0.00120410925887893,-0.452627210633758
116,FC,PRG4,0.997157290626387,0.85654737599901
116,FC,F5,0.153594418145662,0.668157157934842
116,FC,SOX11,0.0101922203243067,-0.257286404299726
116,FC,AMTN,0.00752649892165982,-0.666088233042819
116,FC,DEFB1,0.0642859177398031,0.321123096040089
116,HTC,CCDC160,0.000987169551453138,-0.11036600724155
116,HTC,ANKRD1,0,-0.304245898766611
116,HTC,SPINK1,0,-0.52514464239922
116,HTC,CLDN4,0.0016860048712467,-0.45273063189783
116,HTC,TMEM156,0,-0.728827758300397
116,HTC,FAM170B,0,-0.352126787991565
116,HTC,MTBP,0.00598208859289476,0.284112091043525
116,HTC,ROBO4,0,-0.309096904528277
116,HTC,TEK,0,-0.29155837573271
116,HTC,EBF2,0,-0.248236114555004
116,HTC,NR2F2-AS1,0,-0.237416964681221
116,HTC,CRYBB1,0,-0.312980642444085
116,HTC,CRIP3,0,-0.323865888544622
116,HTC,ADAD2,0,-0.320872173109454
116,HTC,ARHGEF15,0,-0.312761710838984
116,HTC,ROPN1,0,-0.505733199781978
116,HTC,PLA2G10,0.00211911559116989,3.08298005449206
116,HTC,HIST1H2AH,0.0074716797150887,2.43963031852525
116,HTC,HIST1H2BE,0.00342370518901049,4.34399831933519
116,HTC,RAPGEF4-AS1,0,-0.218217890235992
116,HTC,DRAXIN,0.00490389019215583,2.1345625446891
116,HTC,DHH,0,-0.276740729461188
116,HTC,CCL18,0.000501392222754462,-0.178352714725237
116,HTC,LCK,0,-0.374092873287016
116,HTC,HBA2,0.000508445378978923,-0.400147754272374
116,HTC,HBA1,0,-0.583010545289258
116,HTC,DMP1,0,-0.344328454429059
116,HTC,BNC1,0,-0.322509438851439
116,HTC,SLA2,0.000393606134212741,0.455185369680276
116,HTC,LCE1E,0,0
116,HTC,GDNF,0,-0.540338870852718
116,HTC,MMP1,0,-0.500646372205826
116,HTC,S100A2,0.014485298512076,-0.613676568759047
