dataset,layer,programme,delta,t,p,p_adj_within_layer
GSE57218(Pres-OA),L2_ALR_ref_FC,HomC,0.107443069346168,0.922500315888346,0.363171258251351,0.363171258251351
GSE57218(Pres-OA),L2_ALR_ref_FC,HTC,0.316013725881674,2.4799273861771,0.0185929903261059,0.0371859806522118
GSE57218(Pres-OA),L2_ALR_ref_FC,preHTC,-1.23648717933474,-3.17124113623373,0.00333835891682796,0.0190485308562237
GSE57218(Pres-OA),L2_ALR_ref_FC,ProC,-0.477878940328748,-2.92092888320703,0.00634951028540789,0.0190485308562237
GSE57218(Pres-OA),L2_ALR_ref_FC,RegC,0.126117241352627,1.08444845120592,0.286269076996427,0.343522892395713
GSE57218(Pres-OA),L2_ALR_ref_HomC,EC,0.457822367058198,1.5241910787113,0.137284016903832,0.205926025355748
GSE57218(Pres-OA),L2_ALR_ref_HomC,FC,-0.107443069346168,-0.922500315888346,0.363171258251351,0.435805509901621
GSE57218(Pres-OA),L2_ALR_ref_HomC,HTC,0.208570656535506,2.75327111402125,0.00964320145490942,0.0192864029098188
GSE57218(Pres-OA),L2_ALR_ref_HomC,preHTC,-1.34393024868091,-4.10477335651695,0.000260684770933806,0.000782054312801419
GSE57218(Pres-OA),L2_ALR_ref_HomC,ProC,-0.585322009674916,-6.82830780908687,1.01021888489035e-07,6.06131330934211e-07
GSE57218(Pres-OA),L2_ALR_ref_HomC,RegC,0.0186741720064585,0.116799308117031,0.907749073237598,0.907749073237598
GSE57218(Pres-OA),L2_ALR_ref_HTC,EC,0.249251710522692,0.833902119977229,0.410518001402474,0.410518001402474
GSE57218(Pres-OA),L2_ALR_ref_HTC,FC,-0.316013725881674,-2.4799273861771,0.0185929903261059,0.0278894854891589
GSE57218(Pres-OA),L2_ALR_ref_HTC,HomC,-0.208570656535506,-2.75327111402125,0.00964320145490942,0.0192864029098188
GSE57218(Pres-OA),L2_ALR_ref_HTC,preHTC,-1.55250090521642,-4.48821140141617,8.73356770987584e-05,0.000262007031296275
GSE57218(Pres-OA),L2_ALR_ref_HTC,ProC,-0.793892666210422,-7.9124821080068,4.97632610526054e-09,2.98579566315633e-08
GSE57218(Pres-OA),L2_ALR_ref_HTC,RegC,-0.189896484529047,-1.13458897899622,0.26497535897004,0.317970430764048
GSE57218(Pres-OA),L2_ALR_ref_preHTC,EC,1.80175261573911,4.43095743363517,0.000102938620986705,0.000308815862960116
